the_geom,name,bin,doitt_id,shape_area,base_bbl,objectid,construction_year,feature_code,geometry_source,ground_elevation,height_roof,last_edited_date,last_status_type,map_pluto_bbl,length,geometry
"MULTIPOLYGON (((-73.991158690776 40.714085607053, -73.991229694836 40.714079760965, -73.991250106311 40.714078080364, -73.991250846478 40.714083285371, -73.991269652207 40.714215518676, -73.991178235301 40.714223045381, -73.991172330553 40.714181521484, -73.991158690776 40.714085607053)))",,1003590,201068,"207,82421875",1002830063,22.588,1.9,2.1,Photogrammetric,37.0,"52,55",2017 Aug 22 07:35:35 PM,constructed,1002830063,"61,07605486283",POINT (-73.991214 40.714151)
"MULTIPOLYGON (((-73.996523391405 40.719841929436, -73.996481531662 40.71982796846, -73.996475698348 40.719818562456, -73.996391259333 40.719790400897, -73.996376790067 40.719793036235, -73.996374983974 40.719792433737, -73.996360889114 40.719787732631, -73.996289633705 40.719763967702, -73.99631578703 40.719699242589, -73.996370755607 40.719717575114, -73.996406966191 40.719729652087, -73.996412108224 40.719740194517, -73.996489954825 40.719766157716, -73.996494220793 40.719758752953, -73.996540716451 40.719774260238, -73.996563921088 40.719781999015, -73.996590881129 40.719790990507, -73.996565269151 40.719851370737, -73.996563587094 40.719855335632, -73.996523391405 40.719841929436)))",,1006988,649611,"306,22265625",1004710047,746.180,1.92,2.1,Photogrammetric,32.0,"62,16",2017 Aug 22 06:13:58 PM,constructed,1004710047,"89,05260378545",POINT (-73.99644 40.719777)
"MULTIPOLYGON (((-73.996564362795 40.71387224092, -73.996561393483 40.713849335443, -73.996613933518 40.713845391862, -73.996648694318 40.713842783199, -73.996653672403 40.713881189222, -73.996671613903 40.714019601827, -73.996584312839 40.714026154088, -73.996564362795 40.71387224092)))",,1003521,33590,"254,82421875",1002810056,817.117,1.91,2.1,Photogrammetric,39.0,"36,41",2017 Aug 22 07:10:09 PM,constructed,1002810056,"71,71836963146",POINT (-73.996617 40.713934)
"MULTIPOLYGON (((-74.007214615412 40.71116272737, -74.006970726854 40.710961921251, -74.007105854043 40.710866891066, -74.007361839455 40.711067174733, -74.007214615412 40.71116272737)))",,1089791,1272401,"852,2109375",1000900014,1.041.078,2.013,2.1,Other (Manual),,595,2019 Jan 22 05:36:51 PM,constructed,1000907503,"123,13251215038",POINT (-74.007165 40.711015)
"MULTIPOLYGON (((-74.009200765609 40.709043041962, -74.009195759539 40.70904027329, -74.009118893353 40.708997761769, -74.009097123494 40.708985721856, -74.00913561353 40.708947770363, -74.009184948601 40.708965889225, -74.009274103986 40.708998630966, -74.009288236594 40.709003821274, -74.009227552277 40.709058210729, -74.009200765609 40.709043041962)))",,1079032,1107967,"158,61328125",1000640001,1.070.402,2.006,2.1,Other (Manual),26.0,206,2024 Dec 30 08:49:41 PM,constructed,1000640001,"54,37354770764",POINT (-74.009192 40.709001)
"MULTIPOLYGON (((-74.005771399414 40.718871815819, -74.005821572969 40.718808852331, -74.005953840073 40.718642864452, -74.00600433233 40.718666156223, -74.006034098633 40.718679887444, -74.005851659332 40.718908839838, -74.005771399414 40.718871815819)))",,1001983,430409,"410,875",1001780009,1.037.196,1.867,2.1,Other (Manual),12.0,80,2017 Aug 22 06:12:56 PM,constructed,1001787501,"99,48684544287",POINT (-74.005903 40.718776)
"MULTIPOLYGON (((-74.009587080593 40.712187399108, -74.009656647662 40.712220906703, -74.009746471895 40.712264171378, -74.009816005987 40.712297663571, -74.009823233739 40.712301145229, -74.009612377381 40.712554618105, -74.009589873431 40.712581671327, -74.009550546176 40.712562728751, -74.009323300906 40.712453273186, -74.00955665952 40.712172746724, -74.009587080593 40.712187399108)))",,1001238,404926,"1.712,3984375",1000880011,1.036.680,1.84,2.1,Photogrammetric,27.0,"58,47",2020 Jan 28 05:17:39 PM,constructed,1000880011,"167,72737948694",POINT (-74.009573 40.712377)
"MULTIPOLYGON (((-73.994881562649 40.713093170961, -73.994885960369 40.713123750699, -73.994905396292 40.713122132442, -73.994922323682 40.713239836244, -73.994927419299 40.713275266162, -73.994902880251 40.713277310139, -73.9946333175 40.713299756631, -73.994607432183 40.713119767644, -73.994606896382 40.713116042206, -73.994613272852 40.713115511203, -73.994677367739 40.713110174154, -73.994881562649 40.713093170961)))",,1078948,669484,"884,07421875",1002800022,827.541,1.9,2.1,Photogrammetric,34.0,"61,57",2017 Aug 22 05:57:03 PM,constructed,1002800022,"120,15357352943",POINT (-73.994766 40.713197)
"MULTIPOLYGON (((-74.00732275685 40.714553660021, -74.007392049143 40.71446659423, -74.007464169355 40.714375974798, -74.007464325582 40.714376046829, -74.007471372339 40.714379293612, -74.007471719115 40.714379453881, -74.007541843506 40.714411765029, -74.007400431132 40.714589450347, -74.00732275685 40.714553660021)))",,1001470,839596,"308,38671875",1001350021,440.235,1.915,2.1,Photogrammetric,32.0,"53,31",2017 Aug 22 05:33:55 PM,constructed,1001350021,"81,19044755841",POINT (-74.007432 40.714483)
"MULTIPOLYGON (((-73.997658871341 40.714707620697, -73.997705304753 40.714649045221, -73.997750206599 40.714592402192, -73.99778954107 40.71454278122, -73.997803664066 40.714524965789, -73.997834072331 40.714486605515, -73.997915835244 40.714517081201, -73.99782685694 40.714624271831, -73.997743051544 40.714725230059, -73.997658871341 40.714707620697)))",,1001715,426617,"359,47265625",1001620052,462.046,1.92,2.1,Photogrammetric,40.0,"41,47",2017 Aug 22 06:15:59 PM,constructed,1001620052,"93,84970291509",POINT (-73.997789 40.714608)
