the_geom,physicalid,l_low_hn,l_high_hn,r_low_hn,r_high_hn,l_zip,r_zip,status,bike_lane,trafdir,rw_type,pre_type,post_type,objectid,fcc,left_side_block_face_id,right_side_block_face_id,average_travel_time,roadway_jurisdiction,nominaldir,accessible,nonped,borough_code,borough_indicator,segloc_status,san_district_inc,left_side_subset,right_side_subset,continuous_parity_flag,twisted_parity_flag,posted_speed,segment_length,street_width,street_width_irr,special_disaster,fire_lane,created_date,modified_date,within_bndy_dist,truck_route_type,collection_method,from_level_code,to_level_code,b5sc,snow_priority,joinid,bphys_id,cartography_display_level,number_travel_lanes,number_park_lanes,number_total_lane,pre_modifier,pre_directional,post_directional,post_modifier,full_street_name,bike_traffic_direction,shape__length,globalid,segment_type,segment_type_value,street_name,street_name_label,geometry
"MULTILINESTRING ((-73.998631564462 40.713515002424, -73.998586201891 40.713483166557, -73.998532832291 40.713446717045))",182.38,,,,,10013.0,10038.0,2,,TW,1,,ST,115.166,,212.260.458,212.261.643,,,,,,1,,,,1A,1A,,N,25.0,"114,46785198",54.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 10 02:00:14 PM,,2.0,,13,13,145490,H,,,,3.0,0.0,3.0,,,,,WORTH ST,,"14,87888148222",18dd96e5-622a-4b45-af76-501bb116dabf,,,WORTH,WORTH ST,"MULTILINESTRING ((-73.998632 40.713515, -73.998586 40.713483, -73.998533 40.713447))"
"MULTILINESTRING ((-73.991326431759 40.719410767606, -73.990529917279 40.719167972526))",4.148,0,0,55,69,10002.0,10002.0,2,1.0,FT,1,,ST,3.453,,1.222.607.236,1.222.606.888,,,,,,1,,,,1A,1A,,N,25.0,"237,85460084",46.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,3.0,,13,13,116310,C,,,,3.0,1.0,4.0,,,,,DELANCEY ST,FT,"95,57003440284",4f667d42-d3a2-47b2-b79c-18d3c556ab90,,,DELANCEY,DELANCEY ST,"MULTILINESTRING ((-73.991326 40.719411, -73.99053 40.719168))"
"MULTILINESTRING ((-74.013327411239 40.705039025795, -74.012630769695 40.705010998999))",138.0,1,13,2,12,10004.0,10004.0,2,,TF,1,,ST,100.0,,212.260.644,212.261.791,,,,,,1,,,,1B,1B,,N,25.0,"193,42042503",30.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 12:54:33 PM,,,,13,13,112950,C,,,,1.0,2.0,3.0,,,,,BEAVER ST,,"77,65891256937",487bca1a-be68-44d3-b28d-8126cba2a125,,,BEAVER,BEAVER ST,"MULTILINESTRING ((-74.013327 40.705039, -74.012631 40.705011))"
"MULTILINESTRING ((-74.000018350331 40.707829194802, -74.000015215932 40.707990725273))",68.229,,,,,10038.0,10038.0,2,,FT,3,,,61.979,,212.260.018,212.260.038,,,,,V,1,,,,,,,N,,"52,184206",20.0,,,,2007 Nov 29 12:00:00 AM,2022 Nov 22 01:39:21 PM,,,,21,21,110545,C,,,,1.0,0.0,1.0,,,,,FDR DRIVE EXIT 2 NB,,"23,7234616682",9de23f4e-86cc-403a-8137-034ee76be58d,,,FDR DRIVE EXIT 2 NB,FDR DRIVE EXIT 2 NB,"MULTILINESTRING ((-74.000018 40.707829, -74.000015 40.707991))"
"MULTILINESTRING ((-73.996328498707 40.717604405316, -73.996143769321 40.717890437366, -73.995977062134 40.718183214706, -73.995829017903 40.718481737302, -73.995700086739 40.718784970429))",2.031,71,107,66,106,10013.0,10013.0,2,,FT,1,,ST,1.681,,1.222.602.338,1.222.604.418,,,,,,1,,,,1F,1F,,N,25.0,"464,72028079",24.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:34:17 AM,,,,13,13,120190,H,,,,1.0,2.0,3.0,,,,,ELIZABETH ST,,"187,24085402095",b1bb3f91-3d79-4c4e-8a32-61d65d88be7f,,,ELIZABETH,ELIZABETH ST,"MULTILINESTRING ((-73.996328 40.717604, -73.996144 40.71789, -73.995977 40.718183, -73.995829 40.718482, -73.9957 40.718785))"
"MULTILINESTRING ((-74.012088489999 40.709086357733, -74.011936229636 40.709314122162))",79.0,98,102,97,101,10006.0,10006.0,2,,FT,1,,PL,49.0,,212.261.806,212.261.242,,,,,,1,,,,1A,1A,,N,25.0,"93,10115526",42.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:20:51 PM,,2.0,,13,13,132615,H,,,,3.0,1.0,4.0,,,,,TRINITY PL,,"37,49746458105",97af7427-7310-4c35-a977-024e12f9aef2,,,TRINITY,TRINITY PL,"MULTILINESTRING ((-74.012088 40.709086, -74.011936 40.709314))"
"MULTILINESTRING ((-73.99361514473 40.713099519805, -73.993945859138 40.713752272878))",4.285,,,,,10002.0,10002.0,2,,TF,1,,ST,3.563,,212.261.561,212.260.247,,,,,,1,,,,1A,1A,,N,25.0,"254,87826204",18.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:58:49 AM,,,,13,13,120640,H,,,,1.0,0.0,1.0,,,,,FORSYTH ST,,"102,69128832341",64a12fd4-e7ea-4a62-b642-cf4a4e7d19fa,,,FORSYTH,FORSYTH ST,"MULTILINESTRING ((-73.993615 40.7131, -73.993946 40.713752))"
"MULTILINESTRING ((-74.016733485684 40.706491997621, -74.016595514299 40.706844270369, -74.016457552904 40.707196543268))",165.744,40,78,0,0,10004.0,10280.0,2,,FT,1,,ST,108.433,,1.222.604.561,1.222.600.932,,,,,,1,,,,1A,1A,,N,25.0,"133,92216378",24.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 04:05:26 PM,,,,13,13,113670,C,,,,1.0,2.0,3.0,LITTLE,,,,LITTLE   WEST ST,,"107,92497066654",fc12bdb4-aa44-4fb4-88f0-bc26d256e018,,,WEST,LITTLE WEST ST,"MULTILINESTRING ((-74.016733 40.706492, -74.016596 40.706844, -74.016458 40.707197))"
"MULTILINESTRING ((-74.004819906893 40.713483240388, -74.006310996849 40.714174066594))",79.667,36,68,37,69,10007.0,10007.0,2,,TW,1,,ST,72.106,,212.261.103,212.260.875,,,,,,1,,,,1B,1B,,N,25.0,"483,96064447",40.0,,,,2007 Nov 29 12:00:00 AM,2025 Apr 03 02:43:04 PM,,,,13,13,114710,C,,,20.0,2.0,2.0,4.0,,,,,CHAMBERS ST,,"194,53901105559",e465bbda-9a37-46c8-a06c-216d9936bc4c,,,CHAMBERS,CHAMBERS ST,"MULTILINESTRING ((-74.00482 40.713483, -74.006311 40.714174))"
"MULTILINESTRING ((-74.009255979918 40.713264045832, -74.010099809818 40.713645600503, -74.010561847621 40.713854515092))",145.507,44,80,31,57,10007.0,10007.0,2,2.0,TF,1,,PL,104.262,,212.261.528,212.261.387,,,,,,1,,,,1A,1A,,N,25.0,"421,11334685",32.0,,,,2007 Nov 29 12:00:00 AM,2022 May 02 04:20:19 PM,,,,13,13,127880,C,,,,1.0,2.0,3.0,,,,,PARK PL,TF,"169,26923120959",372f10bf-d6ac-48f4-95dc-84641e30a5dc,,,PARK,PARK PL,"MULTILINESTRING ((-74.009256 40.713264, -74.0101 40.713646, -74.010562 40.713855))"
