borough;neighborhood;bin;numfloors;house_number;street_name;full_street_name;zipcode;full_address;streetview_image_usable_flag;streetview_stairs_detected;streetview_gate_detected;streetview_ramp_or_barrier_detected;streetview_amr_can_reach_door_flag;amr_accessibility_probability_estimated;amr_index_estimated
Manhattan;Midtown South-Flatiron-Union Square;1016989;6;29;31;E  31 ST;10016;29 E  31 ST;False;False;False;False;False;0.868557721;86.8557721
Manhattan;Upper West Side (Central);1031371;12;2;86;W  86 ST;10024;2 W  86 ST;False;False;False;False;False;0.528899311;52.88993112
Manhattan;Upper West Side (Central);1030252;3;119;78;W  78 ST;10024;119 W  78 ST;False;False;False;False;False;0.095729922;9.572992204
Manhattan;Upper West Side (Central);1031323;4;42;85;W  85 ST;10024;42 W  85 ST;False;False;False;False;False;0.147071563;14.70715633
Manhattan;Midtown-Times Square;1017243;5;4;39;E  39 ST;10016;4 E  39 ST;False;False;False;False;False;0.819634867;81.96348666
Manhattan;Upper West Side (Central);1031628;3;71;92;W  92 ST;10025;71 W  92 ST;False;False;False;False;False;0.13287534;13.28753396
Manhattan;Midtown-Times Square;1016007;3;20;39;W  39 ST;10018;20 W  39 ST;True;False;False;False;True;0.809608996;80.96089957
Manhattan;Chelsea-Hudson Yards;1013577;5;314;36;W  36 ST;10018;314 W  36 ST;True;False;False;False;True;0.168837526;16.8837526
Manhattan;Midtown-Times Square;1024714;54;1;ASTOR;ASTOR PLZ;10036;1 ASTOR PLZ;False;False;False;False;False;0.936554382;93.65543818
Manhattan;Hell's Kitchen;1026848;6;857;9;9 AVE;10019;857 9 AVE;False;False;False;False;False;0.14918159;14.91815904
Manhattan;Midtown South-Flatiron-Union Square;1015661;12;22;27;W  27 ST;10001;22 W  27 ST;True;False;False;False;True;0.869611326;86.96113257
Manhattan;Gramercy;1017924;3;;;;;;False;False;False;False;False;0.084721223;8.472122264
Manhattan;Hell's Kitchen;1026475;5;644;10;10 AVE;10036;644 10 AVE;False;False;False;False;False;0.62743708;62.74370798
Manhattan;Gramercy;1018181;4;384;3;3 AVE;10016;384 3 AVE;False;False;False;False;False;0.71262512;71.26251202
Manhattan;Gramercy;1017826;6;132;17;E  17 ST;10003;132 E  17 ST;True;False;False;False;True;0.655877248;65.5877248
Manhattan;Upper West Side-Lincoln Square;1028691;5;;;;;;True;True;True;False;False;0.438502696;43.85026956
Manhattan;Chelsea-Hudson Yards;1012588;3.5;416;20;W  20 ST;10011;416 W  20 ST;True;True;True;False;False;0.097536507;9.753650653
Manhattan;Midtown South-Flatiron-Union Square;1016091;8;18;17;E  17 ST;10003;18 E  17 ST;True;False;False;False;True;0.793045448;79.30454478
Manhattan;Upper West Side (Central);1031573;4;10;90;W  90 ST;10024;10 W  90 ST;True;True;True;False;False;0.139240236;13.92402357
Manhattan;Upper West Side (Central);1031522;4;38;89;W  89 ST;10024;38 W  89 ST;True;True;True;False;False;0.124450793;12.44507927
Manhattan;Midtown South-Flatiron-Union Square;1015174;28;150;31;W  31 ST;10001;150 W  31 ST;True;False;False;False;True;0.932618626;93.26186262
Manhattan;Gramercy;1020512;3;351;18;E  18 ST;10003;351 E  18 ST;True;False;False;False;True;0.644702989;64.47029885
Manhattan;Upper West Side (Central);1031540;4;44;89;W  89 ST;10024;44 W  89 ST;True;True;False;False;False;0.140835861;14.08358608
