row_id;bin;borough;neighborhood;zipcode;map_pluto_bbl;bldgclass;bldgclass_group;landuse;landuse_label;centroid_lon;centroid_lat;numfloors;height_roof;construction_year;ground_elevation;shape_area;distance_to_sidewalk_m;delivery_point_source;amr_accessibility_probability_estimated;amr_index_estimated
0;1043509;Manhattan;Upper East Side-Lenox Hill-Roosevelt Island;Unknown;1014150005;S4;S;4;Mixed residential/commercial;-73.9654579;40.76211289;4;42.18;1910;59;199;4.051511797;addresspoint;0.728840829;72.88408293
1;1004895;Manhattan;East Village;Unknown;1003930038;C7;C;4;Mixed residential/commercial;-73.97765875;40.72612368;5;53.84;1920;10;223.75;3.738324591;addresspoint;0.660402554;66.04025541
2;1091774;Manhattan;East Village;Unknown;1003930059;D1;D;3;Multi-family elevator;-73.97926098;40.72677874;8;75;2023;12;433.2421875;4.029809562;addresspoint;0.719179265;71.91792654
3;1050311;Manhattan;Upper East Side-Yorkville;Unknown;1015570019;C1;C;2;Multi-family walk-up;-73.94625675;40.78242556;6;62.82;1920;10;582.3476563;14.19896988;centroid_fallback;0.185281756;18.52817556
4;1054450;Manhattan;East Harlem (North);Unknown;1017720058;E1;E;6;Industrial/manufacturing;-73.93830251;40.80366401;1;18.6476876;1996;20;207.4648438;10.37780496;centroid_fallback;0.513826415;51.38264151
5;1090484;Manhattan;Lower East Side;Unknown;1003500069;D1;D;3;Multi-family elevator;-73.98355989;40.72058848;7;99;2016;23;797.1796875;2.92433121;addresspoint;0.709810905;70.98109055
6;1091769;Manhattan;Hamilton Heights-Sugar Hill;Unknown;1020990017;D8;D;3;Multi-family elevator;-73.94822394;40.83168478;28;294;2023;110;;8.981395132;addresspoint;0.849875213;84.9875213
7;1051480;Manhattan;East Harlem (South);Unknown;1016030069;D4;D;3;Multi-family elevator;-73.95460711;40.78891026;15;167.16;1926;67;;1.478437332;addresspoint;0.653785699;65.37856993
8;1016989;Manhattan;Midtown South-Flatiron-Union Square;Unknown;1008610026;O5;O;5;Commercial & office;-73.98364662;40.74581822;6;60.74;1920;39;347.6445313;2.435050644;addresspoint;0.868557721;86.8557721
9;1085620;Manhattan;Harlem (North);Unknown;1020237503;R2;R;2;Multi-family walk-up;-73.94501937;40.81809246;;36;;25;48.38671875;13.33161497;addresspoint;0.175046278;17.50462782
